student_id,study_hours,attendance,assignment_completion,quiz_average,sleep_hours,phone_usage,dsa_problems,exam_days_remaining,final_score,risk_score,risk_level
S0089,3.5,75.0,68.0,43.0,8.37,5.71,40.0,22,48.0,2,MEDIUM
S0090,5.4,76.0,97.0,74.0,6.54,3.72,34.0,23,76.0,0,LOW
S0091,4.7,77.0,80.0,45.0,5.68,0.95,50.0,40,61.0,1,LOW
S0092,6.2,78.0,80.0,83.0,8.7,3.74,37.0,45,71.0,0,LOW
S0093,3.2,87.0,84.0,71.0,6.86,2.02,32.0,55,58.0,0,LOW
S0094,3.9,79.0,58.0,78.0,7.27,9.76,18.0,51,43.0,1,LOW
S0095,3.8,87.0,91.0,59.0,8.48,5.21,36.0,22,58.0,1,LOW
S0096,1.9,77.0,74.0,91.0,5.76,4.64,50.0,5,72.0,1,LOW
S0097,5.0,79.0,85.0,88.0,7.71,7.72,12.0,31,72.0,0,LOW
S0098,5.0,54.0,59.0,81.0,6.29,2.7,37.0,13,61.0,2,MEDIUM
S0099,4.5,89.0,52.0,70.0,6.84,3.58,40.0,28,65.0,1,LOW
S0100,4.1,82.0,87.0,81.0,7.09,5.67,21.0,58,60.0,0,LOW
S0101,2.0,90.0,81.0,61.0,5.2,8.07,23.0,20,56.0,1,LOW
S0102,3.7,43.0,61.0,85.0,6.07,6.75,40.0,33,46.0,2,MEDIUM
S0103,3.9,100.0,62.0,97.0,8.62,6.12,12.0,16,70.0,1,LOW
S0104,3.1,76.0,92.0,88.0,8.06,5.7,42.0,29,71.0,0,LOW
S0105,4.2,91.0,57.0,61.0,6.92,6.5,17.0,23,57.0,2,MEDIUM
S0106,5.2,66.0,100.0,77.0,7.29,6.0,56.0,24,81.0,1,LOW
S0107,7.9,85.0,61.0,53.0,6.65,2.93,82.0,34,75.0,2,MEDIUM
S0108,4.8,65.0,85.0,81.0,8.63,5.62,18.0,7,59.0,1,LOW
S0109,5.0,71.0,70.0,79.0,6.76,2.82,46.0,38,75.0,1,LOW
S0110,4.4,100.0,84.0,44.0,7.28,5.7,20.0,37,58.0,1,LOW
S0111,1.0,76.0,67.0,55.0,8.38,4.3,56.0,4,39.0,3,HIGH
S0112,4.5,81.0,73.0,68.0,6.07,11.85,10.0,34,56.0,1,LOW
S0113,4.6,88.0,76.0,67.0,8.87,5.4,45.0,42,69.0,1,LOW
S0114,8.9,84.0,60.0,54.0,5.16,1.99,18.0,22,61.0,2,MEDIUM
S0115,4.2,80.0,86.0,78.0,8.96,5.16,31.0,5,76.0,0,LOW
S0116,5.0,82.0,67.0,76.0,6.55,6.8,14.0,50,57.0,1,LOW
S0117,4.4,100.0,72.0,69.0,6.71,9.68,51.0,42,62.0,1,LOW
S0118,2.4,77.0,60.0,61.0,4.73,4.03,18.0,23,47.0,2,MEDIUM
S0119,6.6,80.0,37.0,88.0,6.45,1.54,46.0,54,58.0,1,LOW
S0120,5.9,91.0,72.0,97.0,5.75,7.54,28.0,60,69.0,0,LOW
S0121,5.9,91.0,100.0,65.0,6.27,2.05,33.0,15,71.0,1,LOW
S0122,2.9,92.0,87.0,63.0,6.84,4.41,38.0,31,63.0,1,LOW
S0123,7.0,86.0,75.0,79.0,8.15,4.86,20.0,59,54.0,0,LOW
S0124,2.0,64.0,71.0,67.0,7.25,5.33,39.0,9,58.0,2,MEDIUM
S0125,5.6,98.0,75.0,70.0,7.37,7.22,66.0,43,76.0,0,LOW
S0126,8.4,64.0,83.0,83.0,5.69,3.79,19.0,58,83.0,1,LOW
S0127,2.7,82.0,57.0,43.0,5.94,4.82,58.0,53,41.0,2,MEDIUM
S0128,3.5,69.0,92.0,92.0,9.16,5.46,65.0,25,72.0,1,LOW
S0129,4.7,77.0,86.0,73.0,6.12,5.87,19.0,25,71.0,0,LOW
S0130,3.6,82.0,86.0,66.0,8.99,5.74,6.0,49,66.0,1,LOW
S0131,1.7,82.0,82.0,71.0,6.71,6.59,41.0,21,68.0,1,LOW
S0132,4.6,83.0,75.0,71.0,7.0,7.61,24.0,9,63.0,0,LOW
S0133,2.6,97.0,85.0,46.0,8.28,6.48,72.0,55,60.0,1,LOW
S0134,5.4,83.0,84.0,94.0,8.53,6.63,36.0,48,66.0,0,LOW
S0135,2.8,75.0,70.0,73.0,6.87,1.54,19.0,38,65.0,0,LOW
S0136,7.3,90.0,66.0,79.0,6.53,5.63,12.0,22,68.0,1,LOW
S0137,3.1,92.0,77.0,86.0,6.93,6.7,57.0,43,69.0,0,LOW
S0138,3.9,63.0,98.0,57.0,7.41,7.32,24.0,23,59.0,2,MEDIUM
S0139,6.0,85.0,56.0,79.0,8.07,3.77,36.0,49,53.0,1,LOW
S0140,2.3,86.0,53.0,68.0,7.01,3.85,54.0,4,51.0,2,MEDIUM
S0141,4.9,74.0,77.0,85.0,7.74,4.06,25.0,29,71.0,1,LOW
S0142,6.9,95.0,76.0,40.0,8.97,6.84,34.0,15,62.0,1,LOW
S0143,1.6,76.0,78.0,71.0,7.46,8.08,35.0,1,58.0,1,LOW
S0144,4.8,80.0,79.0,63.0,7.37,4.48,49.0,54,70.0,1,LOW
S0145,5.0,76.0,72.0,78.0,5.18,7.77,47.0,30,61.0,0,LOW
S0146,5.9,78.0,97.0,79.0,3.84,5.81,31.0,29,72.0,0,LOW
S0147,2.3,65.0,51.0,61.0,7.47,5.19,36.0,20,47.0,3,HIGH
S0148,2.1,61.0,63.0,61.0,6.89,4.97,28.0,33,53.0,3,HIGH
S0149,5.4,97.0,73.0,70.0,6.38,7.37,5.0,41,63.0,0,LOW
S0150,5.0,68.0,50.0,59.0,7.29,6.31,40.0,44,43.0,3,HIGH
S0151,5.0,66.0,72.0,85.0,6.93,11.19,73.0,36,66.0,1,LOW
S0152,5.1,52.0,100.0,66.0,8.35,3.37,17.0,60,70.0,2,MEDIUM
S0153,3.3,70.0,75.0,28.0,7.1,6.8,20.0,22,53.0,2,MEDIUM
S0154,4.9,62.0,78.0,66.0,6.1,4.18,18.0,13,62.0,2,MEDIUM
S0155,5.0,98.0,56.0,56.0,8.19,3.33,49.0,7,52.0,2,MEDIUM
S0156,3.2,90.0,66.0,48.0,6.74,5.47,44.0,8,52.0,2,MEDIUM
S0157,7.9,70.0,69.0,53.0,7.63,5.84,32.0,28,67.0,3,HIGH
S0158,5.4,100.0,70.0,74.0,6.43,12.0,17.0,45,69.0,0,LOW
S0159,2.4,90.0,94.0,92.0,6.22,5.04,37.0,43,75.0,0,LOW
S0160,5.7,74.0,83.0,77.0,7.1,2.67,4.0,9,67.0,1,LOW
S0161,2.7,48.0,58.0,63.0,7.02,6.18,38.0,25,53.0,3,HIGH
S0162,5.9,100.0,79.0,79.0,7.58,0.5,52.0,56,74.0,0,LOW
S0163,6.6,61.0,82.0,65.0,6.68,5.27,10.0,16,65.0,2,MEDIUM
S0164,3.0,58.0,92.0,62.0,4.8,5.54,4.0,10,60.0,2,MEDIUM
S0165,6.2,90.0,99.0,55.0,6.48,7.49,67.0,11,77.0,1,LOW
S0166,5.2,100.0,60.0,46.0,7.95,7.93,23.0,31,59.0,2,MEDIUM
S0167,6.0,95.0,63.0,66.0,6.64,4.24,58.0,12,72.0,2,MEDIUM
S0168,7.9,85.0,56.0,74.0,6.7,5.12,32.0,60,63.0,1,LOW
S0169,4.1,85.0,71.0,71.0,8.18,3.58,32.0,31,64.0,0,LOW
S0170,3.1,88.0,82.0,66.0,6.15,2.68,44.0,14,59.0,1,LOW
S0171,2.9,87.0,90.0,58.0,5.15,6.27,17.0,51,57.0,1,LOW
S0172,3.0,81.0,74.0,81.0,6.81,2.32,38.0,44,58.0,0,LOW
S0173,4.4,79.0,70.0,52.0,6.42,4.46,27.0,32,58.0,1,LOW
S0174,5.1,77.0,77.0,84.0,5.84,3.01,9.0,50,56.0,0,LOW
S0175,5.0,69.0,62.0,57.0,6.79,6.87,42.0,53,60.0,3,HIGH
S0176,6.0,75.0,100.0,61.0,7.59,10.0,30.0,17,68.0,1,LOW
S0177,4.5,58.0,51.0,50.0,6.99,2.25,32.0,35,61.0,3,HIGH
S0178,7.1,77.0,78.0,64.0,7.37,0.87,11.0,1,67.0,1,LOW
S0179,4.0,66.0,100.0,87.0,9.18,5.19,67.0,29,74.0,1,LOW
S0180,9.4,65.0,75.0,80.0,6.59,5.54,53.0,51,83.0,1,LOW
S0181,5.6,80.0,72.0,87.0,7.33,6.05,54.0,4,72.0,0,LOW
S0182,3.0,95.0,70.0,80.0,6.39,4.38,29.0,23,66.0,0,LOW
S0183,2.6,89.0,72.0,55.0,5.98,5.0,0.0,28,58.0,1,LOW
S0184,5.4,59.0,96.0,67.0,6.3,6.42,74.0,16,69.0,2,MEDIUM
S0185,4.1,66.0,42.0,60.0,6.43,8.1,34.0,12,55.0,3,HIGH
S0186,5.8,89.0,98.0,92.0,7.43,0.61,20.0,53,72.0,0,LOW
S0187,5.4,66.0,54.0,54.0,9.82,4.58,43.0,21,65.0,3,HIGH
S0188,4.4,75.0,71.0,85.0,6.14,6.03,58.0,45,58.0,0,LOW
S0189,3.0,85.0,69.0,85.0,6.5,3.21,35.0,17,73.0,1,LOW
S0190,1.8,66.0,84.0,99.0,6.92,9.83,61.0,40,55.0,2,MEDIUM
S0191,3.7,79.0,51.0,66.0,7.47,3.91,57.0,13,69.0,2,MEDIUM
S0192,6.0,62.0,82.0,83.0,7.32,5.4,13.0,52,69.0,1,LOW
S0193,4.9,71.0,100.0,100.0,8.54,6.89,22.0,58,71.0,1,LOW
S0194,2.3,82.0,55.0,63.0,4.09,4.02,54.0,32,65.0,2,MEDIUM
S0195,4.8,59.0,78.0,49.0,4.14,0.88,0.0,37,48.0,2,MEDIUM
S0196,5.2,83.0,65.0,44.0,6.4,4.43,32.0,50,55.0,2,MEDIUM
S0197,2.9,78.0,81.0,83.0,8.32,8.07,6.0,15,76.0,0,LOW
S0198,4.8,85.0,75.0,44.0,5.12,4.66,25.0,12,59.0,1,LOW
S0199,4.6,81.0,65.0,66.0,3.39,3.38,29.0,49,49.0,2,MEDIUM
S0200,2.4,94.0,82.0,79.0,7.69,7.81,28.0,57,62.0,0,LOW
S0201,5.1,80.0,100.0,75.0,7.29,4.67,24.0,15,70.0,0,LOW
S0202,5.5,73.0,72.0,78.0,5.69,4.22,13.0,34,66.0,1,LOW
S0203,6.4,79.0,86.0,75.0,5.82,5.87,81.0,6,77.0,0,LOW
S0204,6.4,85.0,56.0,91.0,5.84,7.43,72.0,17,77.0,1,LOW
S0205,2.0,79.0,61.0,58.0,7.13,11.45,12.0,48,36.0,2,MEDIUM
S0206,2.8,78.0,82.0,62.0,6.25,7.57,67.0,49,57.0,1,LOW
S0207,5.4,70.0,97.0,60.0,7.59,8.4,27.0,57,67.0,2,MEDIUM
S0208,5.4,70.0,80.0,84.0,3.57,4.24,38.0,20,66.0,1,LOW
S0209,5.4,61.0,70.0,86.0,5.97,2.94,34.0,9,74.0,1,LOW
S0210,10.0,99.0,75.0,79.0,5.65,5.66,22.0,59,77.0,0,LOW
S0211,5.5,63.0,56.0,90.0,6.69,5.77,55.0,5,68.0,2,MEDIUM
S0212,6.5,70.0,84.0,54.0,6.35,2.8,38.0,23,66.0,2,MEDIUM
S0213,6.2,69.0,88.0,97.0,7.96,5.06,25.0,33,71.0,1,LOW
S0214,5.7,89.0,68.0,95.0,4.77,6.5,9.0,38,71.0,1,LOW
S0215,3.9,74.0,68.0,83.0,7.05,6.4,17.0,56,53.0,2,MEDIUM
S0216,5.9,93.0,79.0,99.0,7.67,6.76,2.0,14,72.0,0,LOW
S0217,3.1,70.0,68.0,47.0,9.23,6.23,35.0,17,50.0,3,HIGH
S0218,4.1,81.0,74.0,64.0,6.42,4.23,11.0,57,51.0,1,LOW
S0219,3.6,68.0,100.0,61.0,7.39,4.22,30.0,19,67.0,2,MEDIUM
S0220,4.6,100.0,71.0,83.0,4.84,2.5,62.0,33,76.0,0,LOW
S0221,8.7,64.0,70.0,56.0,4.13,9.96,59.0,1,70.0,2,MEDIUM
S0222,1.1,82.0,65.0,83.0,8.01,5.53,34.0,13,57.0,2,MEDIUM
S0223,5.7,86.0,86.0,93.0,6.99,4.94,33.0,46,70.0,0,LOW
S0224,1.6,83.0,72.0,82.0,8.41,3.18,73.0,27,65.0,1,LOW
S0225,3.7,76.0,65.0,76.0,5.35,12.0,45.0,6,62.0,1,LOW
S0226,6.5,76.0,95.0,57.0,7.62,2.82,28.0,59,63.0,1,LOW
S0227,4.6,79.0,96.0,59.0,9.24,4.43,6.0,6,57.0,1,LOW
S0228,2.6,76.0,66.0,91.0,7.5,6.54,43.0,33,61.0,1,LOW
S0229,3.2,90.0,47.0,84.0,7.33,7.0,52.0,30,58.0,1,LOW
S0230,5.7,100.0,90.0,71.0,7.01,7.89,22.0,46,71.0,0,LOW
S0231,3.2,71.0,65.0,66.0,5.11,10.02,41.0,35,52.0,3,HIGH
S0232,4.9,62.0,87.0,42.0,8.63,6.77,28.0,23,56.0,2,MEDIUM
S0233,4.6,77.0,45.0,56.0,6.27,2.86,31.0,10,60.0,2,MEDIUM
S0234,3.3,100.0,88.0,100.0,7.61,4.86,0.0,51,76.0,0,LOW
S0235,8.4,68.0,57.0,53.0,5.12,6.27,31.0,19,62.0,3,HIGH
S0236,5.6,98.0,86.0,75.0,5.58,10.67,54.0,51,66.0,0,LOW
S0237,0.9,98.0,75.0,87.0,8.72,2.01,22.0,28,59.0,1,LOW
S0238,4.8,71.0,61.0,53.0,6.58,8.51,36.0,23,58.0,3,HIGH
S0239,3.3,85.0,69.0,75.0,8.74,5.95,20.0,4,57.0,1,LOW
S0240,6.0,98.0,85.0,86.0,6.91,7.59,42.0,20,71.0,0,LOW
S0241,3.1,73.0,77.0,72.0,4.79,5.25,31.0,19,73.0,1,LOW
S0242,4.3,76.0,84.0,100.0,8.07,3.39,16.0,42,82.0,0,LOW
S0243,5.4,71.0,100.0,47.0,6.29,7.38,62.0,27,65.0,2,MEDIUM
S0244,6.1,66.0,52.0,88.0,7.84,7.14,54.0,57,60.0,2,MEDIUM
S0245,2.3,70.0,99.0,69.0,7.03,7.93,23.0,34,64.0,2,MEDIUM
S0246,3.9,63.0,77.0,84.0,5.15,5.47,45.0,4,62.0,1,LOW
S0247,3.6,78.0,62.0,79.0,7.2,4.0,46.0,56,68.0,1,LOW
S0248,3.3,69.0,55.0,61.0,9.64,1.6,48.0,38,52.0,3,HIGH
S0249,7.7,81.0,72.0,75.0,7.59,7.55,1.0,7,78.0,0,LOW
S0250,5.2,59.0,89.0,44.0,6.93,6.56,55.0,48,56.0,2,MEDIUM
S0251,2.2,82.0,73.0,81.0,8.29,3.09,24.0,7,75.0,0,LOW
S0252,6.2,88.0,98.0,76.0,7.25,4.15,28.0,50,78.0,0,LOW
S0253,8.3,54.0,53.0,82.0,7.25,4.33,88.0,52,82.0,2,MEDIUM
S0254,6.4,82.0,75.0,88.0,5.69,1.79,41.0,26,73.0,0,LOW
S0255,1.8,93.0,56.0,78.0,7.28,3.46,27.0,26,49.0,2,MEDIUM
S0256,3.6,63.0,80.0,74.0,8.24,2.67,0.0,54,45.0,1,LOW
S0257,6.8,98.0,88.0,59.0,6.0,4.47,63.0,19,83.0,1,LOW
S0258,3.2,83.0,69.0,61.0,8.71,3.65,8.0,9,55.0,2,MEDIUM
S0259,5.3,70.0,36.0,90.0,6.89,1.43,15.0,20,53.0,2,MEDIUM
S0260,5.9,77.0,78.0,94.0,5.93,10.56,28.0,42,79.0,0,LOW
S0261,2.8,85.0,82.0,68.0,8.2,8.63,63.0,45,70.0,1,LOW
S0262,4.4,79.0,81.0,73.0,6.66,3.55,50.0,50,77.0,0,LOW
S0263,0.5,84.0,94.0,58.0,7.91,6.18,32.0,16,47.0,2,MEDIUM
S0264,2.7,67.0,59.0,90.0,6.65,6.54,41.0,54,67.0,2,MEDIUM
S0265,4.0,80.0,85.0,82.0,6.93,8.48,23.0,17,68.0,0,LOW
S0266,2.3,61.0,93.0,100.0,7.59,3.45,38.0,22,79.0,1,LOW
S0267,7.4,77.0,48.0,59.0,7.35,8.23,36.0,13,62.0,2,MEDIUM
S0268,1.9,67.0,80.0,66.0,4.61,4.13,54.0,12,59.0,3,HIGH
S0269,3.7,69.0,67.0,75.0,5.65,2.16,54.0,10,71.0,2,MEDIUM
S0270,4.7,93.0,74.0,82.0,8.12,7.31,45.0,1,75.0,0,LOW
S0271,7.1,91.0,80.0,69.0,6.84,8.73,28.0,32,77.0,1,LOW
S0272,1.9,85.0,68.0,59.0,6.37,11.97,50.0,30,48.0,3,HIGH
S0273,6.6,65.0,65.0,85.0,5.37,2.5,33.0,8,69.0,2,MEDIUM
S0274,4.5,74.0,76.0,83.0,5.7,7.25,13.0,21,54.0,1,LOW
S0275,2.7,93.0,59.0,58.0,4.57,4.48,27.0,22,50.0,2,MEDIUM
S0276,5.3,80.0,59.0,92.0,6.88,7.46,37.0,18,72.0,1,LOW
S0277,4.9,100.0,85.0,90.0,6.28,1.82,53.0,2,83.0,0,LOW
S0278,3.4,83.0,58.0,74.0,5.84,2.34,31.0,48,54.0,1,LOW
S0279,4.6,80.0,85.0,73.0,6.92,3.56,11.0,44,74.0,0,LOW
S0280,3.8,74.0,82.0,80.0,7.44,5.7,36.0,9,84.0,1,LOW
S0281,4.7,80.0,49.0,59.0,9.51,3.9,37.0,3,50.0,2,MEDIUM
S0282,5.7,76.0,65.0,72.0,5.19,7.15,39.0,54,63.0,1,LOW
S0283,7.4,86.0,93.0,40.0,8.39,8.07,53.0,26,64.0,1,LOW
S0284,2.3,89.0,60.0,85.0,8.17,7.0,55.0,21,61.0,1,LOW
S0285,8.3,69.0,68.0,49.0,6.07,9.55,23.0,30,62.0,3,HIGH
S0286,1.0,62.0,82.0,95.0,7.24,6.54,23.0,28,56.0,2,MEDIUM
S0287,4.2,56.0,87.0,67.0,6.45,2.46,14.0,36,59.0,2,MEDIUM
S0288,5.6,84.0,71.0,69.0,7.22,8.91,49.0,26,66.0,1,LOW
S0289,5.0,65.0,66.0,63.0,8.81,3.99,64.0,34,65.0,3,HIGH
S0290,3.4,52.0,96.0,68.0,7.73,7.78,29.0,8,69.0,2,MEDIUM
S0291,4.1,83.0,100.0,93.0,7.61,9.43,30.0,10,74.0,0,LOW
S0292,3.6,100.0,90.0,35.0,6.48,6.64,64.0,48,57.0,1,LOW
S0293,3.4,78.0,76.0,91.0,5.22,1.76,45.0,55,74.0,0,LOW
S0294,6.0,88.0,63.0,77.0,6.75,3.2,44.0,43,72.0,1,LOW
S0295,5.1,79.0,63.0,54.0,8.45,8.81,11.0,50,52.0,2,MEDIUM
S0296,3.3,77.0,83.0,56.0,5.17,5.08,49.0,54,63.0,1,LOW
S0297,6.1,89.0,81.0,97.0,5.73,5.7,16.0,14,74.0,0,LOW
S0298,5.1,75.0,96.0,58.0,7.15,7.4,12.0,40,60.0,1,LOW
S0299,6.0,81.0,85.0,55.0,5.82,7.24,28.0,55,53.0,1,LOW
S0300,5.6,82.0,52.0,89.0,6.05,6.2,23.0,15,63.0,1,LOW
S0301,3.0,70.0,91.0,77.0,6.49,4.98,31.0,17,54.0,1,LOW
S0302,3.5,90.0,60.0,58.0,5.36,4.72,6.0,53,49.0,2,MEDIUM
S0303,5.8,76.0,69.0,75.0,5.83,7.64,54.0,18,71.0,1,LOW
S0304,5.6,69.0,79.0,57.0,7.84,6.88,58.0,32,55.0,2,MEDIUM
S0305,4.5,84.0,100.0,89.0,5.43,4.86,0.0,38,72.0,0,LOW
S0306,4.7,67.0,100.0,88.0,5.08,8.21,55.0,23,75.0,1,LOW
S0307,6.8,78.0,84.0,80.0,6.24,5.18,19.0,46,72.0,0,LOW
S0308,3.4,78.0,72.0,77.0,7.88,3.37,52.0,23,62.0,0,LOW
