student_id,study_hours,attendance,assignment_completion,quiz_average,sleep_hours,phone_usage,dsa_problems,exam_days_remaining,final_score
S0032,7.8,58.0,60.0,62.0,5.3,8.64,27.0,55,67
S0033,4.5,83.0,82.0,79.0,5.62,7.33,45.0,40,77
S0034,2.6,86.0,83.0,57.0,3.59,6.85,17.0,56,64
S0035,6.0,72.0,91.0,73.0,6.03,7.29,6.0,14,75
S0036,2.3,97.0,100.0,79.0,8.15,11.49,36.0,6,78
S0037,4.9,63.0,81.0,67.0,7.62,10.96,52.0,42,72
S0038,1.0,60.0,67.0,75.0,6.73,3.78,1.0,40,57
S0039,2.1,81.0,75.0,58.0,6.97,9.56,51.0,31,64
S0040,4.9,91.0,48.0,69.0,6.17,6.46,51.0,17,68
S0041,5.8,98.0,65.0,81.0,7.25,6.75,54.0,25,79
S0042,4.8,72.0,69.0,74.0,7.92,1.27,59.0,32,73
S0043,4.3,91.0,67.0,63.0,5.06,5.07,79.0,12,73
S0044,4.0,78.0,77.0,75.0,7.36,3.47,28.0,49,71
S0045,1.8,76.0,63.0,83.0,8.12,7.57,37.0,13,66
S0046,3.2,89.0,92.0,41.0,6.5,8.18,27.0,19,65
S0047,3.7,86.0,75.0,89.0,7.84,0.5,35.0,44,76
S0048,6.4,59.0,75.0,67.0,10.38,5.44,66.0,48,74
S0049,5.1,96.0,70.0,78.0,6.87,8.3,8.0,25,73
S0050,1.3,95.0,77.0,90.0,7.47,5.03,18.0,31,72
S0051,5.1,70.0,87.0,51.0,6.11,7.32,63.0,59,71
S0052,3.8,83.0,62.0,61.0,7.22,6.38,55.0,37,66
S0053,3.3,84.0,65.0,68.0,7.55,6.35,28.0,25,65
S0054,5.6,81.0,70.0,60.0,7.23,4.82,52.0,16,71
S0055,6.4,71.0,55.0,98.0,5.78,2.46,42.0,57,78
S0056,6.2,70.0,63.0,59.0,7.25,2.7,65.0,38,70
S0057,3.0,78.0,68.0,64.0,8.75,7.27,36.0,43,64
S0058,3.9,92.0,88.0,75.0,7.54,5.55,56.0,49,79
S0059,5.1,85.0,79.0,54.0,8.15,5.15,88.0,58,75
S0060,6.3,74.0,78.0,66.0,6.72,4.44,47.0,23,75
S0061,3.6,87.0,88.0,77.0,7.9,4.74,36.0,14,76
S0062,4.2,44.0,73.0,67.0,7.34,8.12,49.0,6,65
S0063,2.5,92.0,81.0,71.0,5.86,4.66,28.0,25,70
S0064,2.3,57.0,73.0,64.0,7.38,2.15,83.0,23,66
S0065,6.0,74.0,79.0,49.0,5.81,7.36,39.0,60,68
S0066,6.9,65.0,66.0,77.0,6.24,4.99,30.0,43,73
S0067,4.4,62.0,38.0,98.0,7.23,5.58,18.0,12,66
S0068,6.3,92.0,73.0,72.0,7.36,9.52,57.0,13,79
S0069,5.2,72.0,96.0,75.0,5.57,5.45,52.0,36,80
S0070,3.3,82.0,89.0,82.0,8.26,6.22,25.0,39,75
S0071,5.2,77.0,89.0,53.0,7.69,2.55,47.0,34,72
S0072,7.3,84.0,94.0,98.0,6.15,4.95,5.0,6,87
S0073,4.4,79.0,76.0,75.0,5.15,7.02,39.0,38,73
S0074,7.3,63.0,78.0,96.0,6.83,1.61,44.0,50,84
S0075,0.5,90.0,66.0,61.0,6.46,6.0,69.0,52,63
S0076,6.0,72.0,70.0,99.0,7.14,5.75,20.0,40,79
S0077,4.7,59.0,84.0,84.0,6.56,5.6,9.0,8,72
S0078,4.0,73.0,93.0,80.0,4.59,8.09,17.0,8,75
S0079,4.7,96.0,73.0,76.0,6.53,6.34,8.0,40,72
S0080,0.9,88.0,68.0,68.0,6.63,9.2,62.0,33,65
S0081,4.1,74.0,75.0,90.0,7.76,3.02,66.0,34,78
S0082,5.1,74.0,84.0,74.0,6.16,5.84,41.0,44,75
S0083,7.2,74.0,53.0,42.0,9.01,5.71,59.0,15,64
S0084,3.6,100.0,41.0,55.0,4.71,2.83,38.0,36,60
S0085,3.0,83.0,67.0,69.0,8.57,7.89,33.0,60,66
S0086,3.6,83.0,57.0,77.0,6.73,11.31,28.0,57,67
S0087,6.1,90.0,67.0,71.0,8.03,5.46,29.0,35,73
S0088,5.1,81.0,73.0,90.0,7.1,6.76,4.0,46,75
S0089,3.5,75.0,68.0,43.0,8.37,5.71,40.0,22,59
S0090,5.4,76.0,97.0,74.0,6.54,3.72,34.0,23,79
S0091,4.7,77.0,80.0,45.0,5.68,0.95,50.0,40,66
S0092,6.2,78.0,80.0,83.0,8.7,3.74,37.0,45,80
S0093,3.2,87.0,84.0,71.0,6.86,2.02,32.0,55,72
S0094,3.9,79.0,58.0,78.0,7.27,9.76,18.0,51,66
S0095,3.8,87.0,91.0,59.0,8.48,5.21,36.0,22,72
S0096,1.9,77.0,74.0,91.0,5.76,4.64,50.0,5,73
S0097,5.0,79.0,85.0,88.0,7.71,7.72,12.0,31,78
S0098,5.0,54.0,59.0,81.0,6.29,2.7,37.0,13,68
S0099,4.5,89.0,52.0,70.0,6.84,3.58,40.0,28,67
S0100,4.1,82.0,87.0,81.0,7.09,5.67,21.0,58,75
S0101,2.0,90.0,81.0,61.0,5.2,8.07,23.0,20,65
S0102,3.7,43.0,61.0,85.0,6.07,6.75,40.0,33,65
S0103,3.9,100.0,62.0,97.0,8.62,6.12,12.0,16,75
S0104,3.1,76.0,92.0,88.0,8.06,5.7,42.0,29,78
S0105,4.2,91.0,57.0,61.0,6.92,6.5,17.0,23,63
S0106,5.2,66.0,100.0,77.0,7.29,6.0,56.0,24,81
S0107,7.9,85.0,61.0,53.0,6.65,2.93,82.0,34,75
S0108,4.8,65.0,85.0,81.0,8.63,5.62,18.0,7,74
S0109,5.0,71.0,70.0,79.0,6.76,2.82,46.0,38,73
S0110,4.4,100.0,84.0,44.0,7.28,5.7,20.0,37,67
S0111,1.0,76.0,67.0,55.0,8.38,4.3,56.0,4,59
S0112,4.5,81.0,73.0,68.0,6.07,11.85,10.0,34,68
S0113,4.6,88.0,76.0,67.0,8.87,5.4,45.0,42,73
S0114,8.9,84.0,60.0,54.0,5.16,1.99,18.0,22,70
S0115,4.2,80.0,86.0,78.0,8.96,5.16,31.0,5,75
S0116,5.0,82.0,67.0,76.0,6.55,6.8,14.0,50,70
S0117,4.4,100.0,72.0,69.0,6.71,9.68,51.0,42,74
S0118,2.4,77.0,60.0,61.0,4.73,4.03,18.0,23,58
S0119,6.6,80.0,37.0,88.0,6.45,1.54,46.0,54,72
S0120,5.9,91.0,72.0,97.0,5.75,7.54,28.0,60,82
S0121,5.9,91.0,100.0,65.0,6.27,2.05,33.0,15,80
S0122,2.9,92.0,87.0,63.0,6.84,4.41,38.0,31,71
S0123,7.0,86.0,75.0,79.0,8.15,4.86,20.0,59,78
S0124,2.0,64.0,71.0,67.0,7.25,5.33,39.0,9,62
S0125,5.6,98.0,75.0,70.0,7.37,7.22,66.0,43,79
S0126,8.4,64.0,83.0,83.0,5.69,3.79,19.0,58,81
S0127,2.7,82.0,57.0,43.0,5.94,4.82,58.0,53,57
S0128,3.5,69.0,92.0,92.0,9.16,5.46,65.0,25,81
S0129,4.7,77.0,86.0,73.0,6.12,5.87,19.0,25,73
S0130,3.6,82.0,86.0,66.0,8.99,5.74,6.0,49,68
S0131,1.7,82.0,82.0,71.0,6.71,6.59,41.0,21,68
S0132,4.6,83.0,75.0,71.0,7.0,7.61,24.0,9,71
S0133,2.6,97.0,85.0,46.0,8.28,6.48,72.0,55,69
S0134,5.4,83.0,84.0,94.0,8.53,6.63,36.0,48,83
S0135,2.8,75.0,70.0,73.0,6.87,1.54,19.0,38,65
S0136,7.3,90.0,66.0,79.0,6.53,5.63,12.0,22,76
S0137,3.1,92.0,77.0,86.0,6.93,6.7,57.0,43,78
S0138,3.9,63.0,98.0,57.0,7.41,7.32,24.0,23,68
S0139,6.0,85.0,56.0,79.0,8.07,3.77,36.0,49,73
S0140,2.3,86.0,53.0,68.0,7.01,3.85,54.0,4,63
S0141,4.9,74.0,77.0,85.0,7.74,4.06,25.0,29,75
S0142,6.9,95.0,76.0,40.0,8.97,6.84,34.0,15,69
S0143,1.6,76.0,78.0,71.0,7.46,8.08,35.0,1,66
S0144,4.8,80.0,79.0,63.0,7.37,4.48,49.0,54,72
S0145,5.0,76.0,72.0,78.0,5.18,7.77,47.0,30,74
S0146,5.9,78.0,97.0,79.0,3.84,5.81,31.0,29,81
S0147,2.3,65.0,51.0,61.0,7.47,5.19,36.0,20,56
S0148,2.1,61.0,63.0,61.0,6.89,4.97,28.0,33,57
S0149,5.4,97.0,73.0,70.0,6.38,7.37,5.0,41,72
S0150,5.0,68.0,50.0,59.0,7.29,6.31,40.0,44,61
S0151,5.0,66.0,72.0,85.0,6.93,11.19,73.0,36,78
S0152,5.1,52.0,100.0,66.0,8.35,3.37,17.0,60,71
S0153,3.3,70.0,75.0,28.0,7.1,6.8,20.0,22,53
S0154,4.9,62.0,78.0,66.0,6.1,4.18,18.0,13,67
S0155,5.0,98.0,56.0,56.0,8.19,3.33,49.0,7,67
S0156,3.2,90.0,66.0,48.0,6.74,5.47,44.0,8,62
S0157,7.9,70.0,69.0,53.0,7.63,5.84,32.0,28,69
S0158,5.4,100.0,70.0,74.0,6.43,12.0,17.0,45,74
S0159,2.4,90.0,94.0,92.0,6.22,5.04,37.0,43,80
S0160,5.7,74.0,83.0,77.0,7.1,2.67,4.0,9,74
S0161,2.7,48.0,58.0,63.0,7.02,6.18,38.0,25,57
S0162,5.9,100.0,79.0,79.0,7.58,0.5,52.0,56,82
S0163,6.6,61.0,82.0,65.0,6.68,5.27,10.0,16,70
S0164,3.0,58.0,92.0,62.0,4.8,5.54,4.0,10,64
S0165,6.2,90.0,99.0,55.0,6.48,7.49,67.0,11,81
S0166,5.2,100.0,60.0,46.0,7.95,7.93,23.0,31,63
S0167,6.0,95.0,63.0,66.0,6.64,4.24,58.0,12,74
S0168,7.9,85.0,56.0,74.0,6.7,5.12,32.0,60,75
S0169,4.1,85.0,71.0,71.0,8.18,3.58,32.0,31,70
S0170,3.1,88.0,82.0,66.0,6.15,2.68,44.0,14,71
S0171,2.9,87.0,90.0,58.0,5.15,6.27,17.0,51,67
S0172,3.0,81.0,74.0,81.0,6.81,2.32,38.0,44,72
S0173,4.4,79.0,70.0,52.0,6.42,4.46,27.0,32,63
S0174,5.1,77.0,77.0,84.0,5.84,3.01,9.0,50,74
S0175,5.0,69.0,62.0,57.0,6.79,6.87,42.0,53,64
S0176,6.0,75.0,100.0,61.0,7.59,10.0,30.0,17,76
S0177,4.5,58.0,51.0,50.0,6.99,2.25,32.0,35,55
S0178,7.1,77.0,78.0,64.0,7.37,0.87,11.0,1,72
S0179,4.0,66.0,100.0,87.0,9.18,5.19,67.0,29,83
S0180,9.4,65.0,75.0,80.0,6.59,5.54,53.0,51,83
S0181,5.6,80.0,72.0,87.0,7.33,6.05,54.0,4,80
S0182,3.0,95.0,70.0,80.0,6.39,4.38,29.0,23,71
S0183,2.6,89.0,72.0,55.0,5.98,5.0,0.0,28,60
S0184,5.4,59.0,96.0,67.0,6.3,6.42,74.0,16,78
S0185,4.1,66.0,42.0,60.0,6.43,8.1,34.0,12,57
S0186,5.8,89.0,98.0,92.0,7.43,0.61,20.0,53,86
S0187,5.4,66.0,54.0,54.0,9.82,4.58,43.0,21,62
S0188,4.4,75.0,71.0,85.0,6.14,6.03,58.0,45,76
S0189,3.0,85.0,69.0,85.0,6.5,3.21,35.0,17,72
S0190,1.8,66.0,84.0,99.0,6.92,9.83,61.0,40,77
S0191,3.7,79.0,51.0,66.0,7.47,3.91,57.0,13,64
S0192,6.0,62.0,82.0,83.0,7.32,5.4,13.0,52,75
S0193,4.9,71.0,100.0,100.0,8.54,6.89,22.0,58,84
S0194,2.3,82.0,55.0,63.0,4.09,4.02,54.0,32,62
S0195,4.8,59.0,78.0,49.0,4.14,0.88,0.0,37,59
S0196,5.2,83.0,65.0,44.0,6.4,4.43,32.0,50,62
S0197,2.9,78.0,81.0,83.0,8.32,8.07,6.0,15,70
S0198,4.8,85.0,75.0,44.0,5.12,4.66,25.0,12,64
S0199,4.6,81.0,65.0,66.0,3.39,3.38,29.0,49,67
S0200,2.4,94.0,82.0,79.0,7.69,7.81,28.0,57,73
S0201,5.1,80.0,100.0,75.0,7.29,4.67,24.0,15,79
S0202,5.5,73.0,72.0,78.0,5.69,4.22,13.0,34,71
S0203,6.4,79.0,86.0,75.0,5.82,5.87,81.0,6,84
S0204,6.4,85.0,56.0,91.0,5.84,7.43,72.0,17,81
S0205,2.0,79.0,61.0,58.0,7.13,11.45,12.0,48,57
S0206,2.8,78.0,82.0,62.0,6.25,7.57,67.0,49,70
S0207,5.4,70.0,97.0,60.0,7.59,8.4,27.0,57,73
S0208,5.4,70.0,80.0,84.0,3.57,4.24,38.0,20,77
S0209,5.4,61.0,70.0,86.0,5.97,2.94,34.0,9,73
S0210,10.0,99.0,75.0,79.0,5.65,5.66,22.0,59,86
S0211,5.5,63.0,56.0,90.0,6.69,5.77,55.0,5,74
S0212,6.5,70.0,84.0,54.0,6.35,2.8,38.0,23,71
S0213,6.2,69.0,88.0,97.0,7.96,5.06,25.0,33,83
S0214,5.7,89.0,68.0,95.0,4.77,6.5,9.0,38,78
S0215,3.9,74.0,68.0,83.0,7.05,6.4,17.0,56,69
S0216,5.9,93.0,79.0,99.0,7.67,6.76,2.0,14,82
S0217,3.1,70.0,68.0,47.0,9.23,6.23,35.0,17,58
S0218,4.1,81.0,74.0,64.0,6.42,4.23,11.0,57,66
S0219,3.6,68.0,100.0,61.0,7.39,4.22,30.0,19,71
S0220,4.6,100.0,71.0,83.0,4.84,2.5,62.0,33,80
S0221,8.7,64.0,70.0,56.0,4.13,9.96,59.0,1,74
S0222,1.1,82.0,65.0,83.0,8.01,5.53,34.0,13,66
S0223,5.7,86.0,86.0,93.0,6.99,4.94,33.0,46,84
S0224,1.6,83.0,72.0,82.0,8.41,3.18,73.0,27,72
S0225,3.7,76.0,65.0,76.0,5.35,12.0,45.0,6,69
S0226,6.5,76.0,95.0,57.0,7.62,2.82,28.0,59,75
S0227,4.6,79.0,96.0,59.0,9.24,4.43,6.0,6,70
S0228,2.6,76.0,66.0,91.0,7.5,6.54,43.0,33,72
S0229,3.2,90.0,47.0,84.0,7.33,7.0,52.0,30,69
S0230,5.7,100.0,90.0,71.0,7.01,7.89,22.0,46,79
S0231,3.2,71.0,65.0,66.0,5.11,10.02,41.0,35,64
S0232,4.9,62.0,87.0,42.0,8.63,6.77,28.0,23,63
S0233,4.6,77.0,45.0,56.0,6.27,2.86,31.0,10,59
S0234,3.3,100.0,88.0,100.0,7.61,4.86,0.0,51,80
S0235,8.4,68.0,57.0,53.0,5.12,6.27,31.0,19,67
S0236,5.6,98.0,86.0,75.0,5.58,10.67,54.0,51,82
S0237,0.9,98.0,75.0,87.0,8.72,2.01,22.0,28,70
S0238,4.8,71.0,61.0,53.0,6.58,8.51,36.0,23,62
S0239,3.3,85.0,69.0,75.0,8.74,5.95,20.0,4,68
S0240,6.0,98.0,85.0,86.0,6.91,7.59,42.0,20,85
S0241,3.1,73.0,77.0,72.0,4.79,5.25,31.0,19,68
S0242,4.3,76.0,84.0,100.0,8.07,3.39,16.0,42,79
S0243,5.4,71.0,100.0,47.0,6.29,7.38,62.0,27,74
S0244,6.1,66.0,52.0,88.0,7.84,7.14,54.0,57,74
S0245,2.3,70.0,99.0,69.0,7.03,7.93,23.0,34,70
S0246,3.9,63.0,77.0,84.0,5.15,5.47,45.0,4,73
S0247,3.6,78.0,62.0,79.0,7.2,4.0,46.0,56,70
S0248,3.3,69.0,55.0,61.0,9.64,1.6,48.0,38,61
S0249,7.7,81.0,72.0,75.0,7.59,7.55,1.0,7,75
S0250,5.2,59.0,89.0,44.0,6.93,6.56,55.0,48,67
S0251,2.2,82.0,73.0,81.0,8.29,3.09,24.0,7,68
S0252,6.2,88.0,98.0,76.0,7.25,4.15,28.0,50,83
S0253,8.3,54.0,53.0,82.0,7.25,4.33,88.0,52,78
S0254,6.4,82.0,75.0,88.0,5.69,1.79,41.0,26,81
S0255,1.8,93.0,56.0,78.0,7.28,3.46,27.0,26,64
S0256,3.6,63.0,80.0,74.0,8.24,2.67,0.0,54,66
S0257,6.8,98.0,88.0,59.0,6.0,4.47,63.0,19,81
S0258,3.2,83.0,69.0,61.0,8.71,3.65,8.0,9,62
S0259,5.3,70.0,36.0,90.0,6.89,1.43,15.0,20,65
S0260,5.9,77.0,78.0,94.0,5.93,10.56,28.0,42,81
S0261,2.8,85.0,82.0,68.0,8.2,8.63,63.0,45,72
S0262,4.4,79.0,81.0,73.0,6.66,3.55,50.0,50,75
S0263,0.5,84.0,94.0,58.0,7.91,6.18,32.0,16,65
S0264,2.7,67.0,59.0,90.0,6.65,6.54,41.0,54,68
S0265,4.0,80.0,85.0,82.0,6.93,8.48,23.0,17,75
S0266,2.3,61.0,93.0,100.0,7.59,3.45,38.0,22,78
S0267,7.4,77.0,48.0,59.0,7.35,8.23,36.0,13,66
S0268,1.9,67.0,80.0,66.0,4.61,4.13,54.0,12,66
S0269,3.7,69.0,67.0,75.0,5.65,2.16,54.0,10,69
S0270,4.7,93.0,74.0,82.0,8.12,7.31,45.0,1,78
S0271,7.1,91.0,80.0,69.0,6.84,8.73,28.0,32,78
S0272,1.9,85.0,68.0,59.0,6.37,11.97,50.0,30,63
S0273,6.6,65.0,65.0,85.0,5.37,2.5,33.0,8,75
S0274,4.5,74.0,76.0,83.0,5.7,7.25,13.0,21,72
S0275,2.7,93.0,59.0,58.0,4.57,4.48,27.0,22,61
S0276,5.3,80.0,59.0,92.0,6.88,7.46,37.0,18,75
S0277,4.9,100.0,85.0,90.0,6.28,1.82,53.0,2,85
S0278,3.4,83.0,58.0,74.0,5.84,2.34,31.0,48,66
S0279,4.6,80.0,85.0,73.0,6.92,3.56,11.0,44,72
S0280,3.8,74.0,82.0,80.0,7.44,5.7,36.0,9,74
S0281,4.7,80.0,49.0,59.0,9.51,3.9,37.0,3,62
S0282,5.7,76.0,65.0,72.0,5.19,7.15,39.0,54,71
S0283,7.4,86.0,93.0,40.0,8.39,8.07,53.0,26,75
S0284,2.3,89.0,60.0,85.0,8.17,7.0,55.0,21,71
S0285,8.3,69.0,68.0,49.0,6.07,9.55,23.0,30,68
S0286,1.0,62.0,82.0,95.0,7.24,6.54,23.0,28,69
S0287,4.2,56.0,87.0,67.0,6.45,2.46,14.0,36,67
S0288,5.6,84.0,71.0,69.0,7.22,8.91,49.0,26,74
S0289,5.0,65.0,66.0,63.0,8.81,3.99,64.0,34,68
S0290,3.4,52.0,96.0,68.0,7.73,7.78,29.0,8,69
S0291,4.1,83.0,100.0,93.0,7.61,9.43,30.0,10,83
S0292,3.6,100.0,90.0,35.0,6.48,6.64,64.0,48,68
S0293,3.4,78.0,76.0,91.0,5.22,1.76,45.0,55,76
S0294,6.0,88.0,63.0,77.0,6.75,3.2,44.0,43,75
S0295,5.1,79.0,63.0,54.0,8.45,8.81,11.0,50,62
S0296,3.3,77.0,83.0,56.0,5.17,5.08,49.0,54,67
S0297,6.1,89.0,81.0,97.0,5.73,5.7,16.0,14,83
S0298,5.1,75.0,96.0,58.0,7.15,7.4,12.0,40,71
S0299,6.0,81.0,85.0,55.0,5.82,7.24,28.0,55,72
S0300,5.6,82.0,52.0,89.0,6.05,6.2,23.0,15,72
S0301,3.0,70.0,91.0,77.0,6.49,4.98,31.0,17,72
S0302,3.5,90.0,60.0,58.0,5.36,4.72,6.0,53,60
S0303,5.8,76.0,69.0,75.0,5.83,7.64,54.0,18,75
S0304,5.6,69.0,79.0,57.0,7.84,6.88,58.0,32,71
S0305,4.5,84.0,100.0,89.0,5.43,4.86,0.0,38,80
S0306,4.7,67.0,100.0,88.0,5.08,8.21,55.0,23,83
S0307,6.8,78.0,84.0,80.0,6.24,5.18,19.0,46,79
S0308,3.4,78.0,72.0,77.0,7.88,3.37,52.0,23,72
S0309,5.5,91.0,83.0,98.0,6.76,3.6,34.0,35,85
S0310,4.1,84.0,88.0,72.0,6.44,3.05,36.0,39,75
S0311,4.1,78.0,70.0,54.0,7.05,4.82,31.0,15,64
S0312,6.5,88.0,100.0,79.0,4.91,8.58,59.0,53,88
S0313,6.0,95.0,78.0,100.0,7.59,3.49,10.0,24,84
S0314,6.0,85.0,82.0,57.0,7.46,5.97,47.0,28,74
S0315,6.8,78.0,85.0,67.0,6.51,3.86,57.0,16,79
S0316,4.5,62.0,81.0,78.0,8.21,4.85,49.0,16,74
S0317,5.7,65.0,88.0,71.0,5.65,1.72,81.0,40,79
S0318,3.9,74.0,66.0,57.0,8.35,4.95,24.0,39,62
S0319,5.1,71.0,67.0,89.0,7.19,5.02,54.0,6,77
S0320,4.3,76.0,58.0,100.0,6.6,6.85,33.0,2,75
S0321,4.7,79.0,82.0,75.0,6.98,6.06,60.0,54,77
S0322,5.6,84.0,87.0,58.0,6.87,2.5,35.0,13,73
S0323,3.0,77.0,82.0,49.0,8.46,8.21,27.0,44,62
S0324,8.3,84.0,100.0,76.0,5.71,6.03,61.0,47,90
S0325,2.7,79.0,75.0,89.0,6.08,6.0,25.0,59,72
S0326,2.3,54.0,85.0,79.0,8.24,5.48,7.0,9,65
S0327,6.6,67.0,59.0,72.0,6.29,4.21,25.0,34,69
S0328,5.9,76.0,69.0,63.0,8.08,6.04,47.0,17,71
S0329,5.6,63.0,85.0,56.0,9.04,6.69,63.0,27,72
S0330,5.6,85.0,88.0,85.0,6.52,1.13,37.0,29,82
S0331,4.5,96.0,71.0,86.0,7.82,4.15,61.0,37,80
S0332,2.9,93.0,74.0,49.0,5.62,4.86,8.0,43,61
S0333,4.6,75.0,52.0,96.0,7.91,6.14,26.0,22,72
S0334,3.3,96.0,70.0,81.0,7.24,8.48,29.0,51,73
S0335,6.3,80.0,88.0,93.0,7.57,3.57,33.0,24,85
S0336,4.2,74.0,84.0,52.0,6.23,4.26,37.0,7,67
S0337,3.0,71.0,83.0,52.0,5.01,4.22,49.0,34,65
S0338,3.9,74.0,76.0,70.0,7.6,3.5,26.0,48,68
S0339,5.2,73.0,75.0,80.0,4.52,4.63,38.0,12,75
S0340,3.5,80.0,65.0,99.0,6.62,7.43,34.0,23,75
S0341,3.0,80.0,85.0,83.0,8.13,2.87,16.0,15,73
S0342,4.9,78.0,81.0,68.0,7.23,6.57,33.0,33,72
S0343,4.9,83.0,82.0,57.0,9.34,1.25,32.0,57,70
S0344,3.6,92.0,67.0,90.0,8.23,4.1,32.0,13,75
S0345,3.7,89.0,43.0,58.0,6.22,4.68,36.0,23,59
S0346,4.9,60.0,91.0,96.0,7.03,9.69,37.0,38,81
S0347,1.9,47.0,68.0,68.0,6.94,4.81,26.0,32,58
S0348,2.0,89.0,62.0,96.0,5.1,0.5,60.0,45,74
S0349,3.2,62.0,85.0,82.0,5.87,0.5,12.0,50,70
S0350,4.1,75.0,69.0,70.0,6.33,5.59,21.0,35,67
S0351,5.1,64.0,91.0,64.0,4.56,7.03,91.0,1,78
S0352,7.2,56.0,84.0,67.0,7.06,6.44,14.0,47,72
S0353,6.0,84.0,85.0,78.0,6.7,5.92,8.0,58,77
S0354,4.2,87.0,55.0,73.0,4.99,8.41,50.0,45,69
S0355,4.5,71.0,93.0,63.0,7.49,4.15,0.0,5,69
S0356,2.7,47.0,79.0,70.0,7.86,7.74,30.0,57,63
S0357,4.5,71.0,69.0,73.0,7.27,1.42,78.0,13,73
S0358,4.0,83.0,77.0,40.0,6.61,3.24,4.0,54,59
S0359,5.1,60.0,48.0,79.0,7.71,0.98,0.0,5,62
S0360,3.0,80.0,81.0,57.0,7.82,4.81,5.0,60,63
S0361,5.4,78.0,60.0,55.0,7.37,5.38,53.0,32,66
S0362,7.3,85.0,55.0,47.0,6.01,5.79,57.0,51,68
S0363,4.3,79.0,52.0,45.0,7.33,5.65,25.0,21,56
S0364,5.2,66.0,92.0,52.0,8.43,3.18,49.0,24,71
S0365,5.7,92.0,66.0,61.0,6.28,5.02,63.0,60,73
S0366,3.8,76.0,98.0,100.0,9.52,1.76,71.0,18,87
S0367,4.9,78.0,67.0,64.0,6.37,8.91,30.0,21,67
S0368,4.5,67.0,49.0,75.0,7.04,4.74,0.0,54,61
S0369,4.7,73.0,58.0,78.0,6.19,4.28,19.0,10,67
S0370,3.1,67.0,94.0,74.0,7.27,9.47,26.0,24,71
S0371,4.5,76.0,73.0,71.0,4.91,2.39,30.0,40,70
S0372,5.4,99.0,67.0,54.0,6.34,2.69,31.0,47,69
S0373,7.1,62.0,77.0,94.0,5.69,2.76,57.0,21,83
S0374,6.2,59.0,83.0,99.0,7.16,5.33,60.0,25,85
S0375,8.4,96.0,92.0,47.0,8.19,6.58,32.0,52,78
S0376,3.1,75.0,97.0,57.0,7.78,7.35,57.0,60,71
S0377,6.1,70.0,70.0,68.0,4.15,11.93,42.0,57,72
S0378,4.8,90.0,55.0,58.0,9.45,0.5,36.0,59,65
S0379,8.4,71.0,69.0,80.0,7.35,7.02,53.0,23,81
S0380,3.0,100.0,79.0,61.0,6.07,4.11,36.0,22,69
S0381,3.0,86.0,61.0,100.0,7.19,4.03,76.0,4,79
S0382,3.4,72.0,61.0,90.0,7.21,3.95,6.0,34,67
S0383,0.7,100.0,80.0,75.0,6.2,3.23,25.0,56,68
S0384,3.6,71.0,74.0,87.0,7.24,9.71,32.0,6,72
S0385,3.1,87.0,75.0,89.0,6.27,7.61,44.0,28,76
